sequenceID,sum_diff,mean_diff,max_diff,min_diff,std_deviation,mean,median,variance,min_value,max_value,range_value,iqr,abs_skewness,kurtosis,count,unique_count,percentile_25,percentile_50,percentile_75,autocorr
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr4:75452279-190000000,9315343,1.2523514166308831,647,1,157.97239667643876,35.479381330341965,9.0,24955.278111698124,0,4020,4020,12.0,9.935599073169929,122.86358062044054,7438283,3525,5.0,9.0,17.0,0.9999057936584608
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr5:100000-17500000,1419793,1.2782486880285362,777,1,175.51552349005937,38.46773935073564,9.0,30805.698985989577,0,4248,4248,13.0,9.996150843746944,126.10218924712076,1110734,2986,4.0,9.0,17.0,0.9999045911214254
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr10:18024675-38818835,1980241,1.1838512450746124,1170,1,133.87400880265508,32.22313285251735,11.0,17922.250232893373,0,3865,3865,15.0,11.818244604440086,186.78109431746933,1672712,2802,6.0,11.0,21.0,0.9998684233713796
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr1:17175658-29878082,1957839,1.471657735520305,1035,1,236.05043498547963,66.78749274634612,14.0,55719.80785683415,0,3458,3458,21.0,6.672053704598869,51.88146663301541,1330364,3059,7.0,14.0,28.0,0.9999236053540173
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr2:16329724-21153113,502628,1.2288742466657705,40,1,161.15143633407328,38.85757769867193,12.0,25969.78543253487,0,3299,3299,15.0,9.710528773647036,114.17217757173243,409016,2308,6.0,12.0,21.0,0.9999247721927568
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr3:60000-66170270,6899071,1.2282623480132229,662,1,158.80243109865657,38.44123122620033,12.0,25218.212122843564,0,5009,5009,16.0,10.602638809986944,150.97659897264418,5616937,3744,6.0,12.0,22.0,0.9999193431311544
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr4:52660117-59739333,636518,1.173413217808093,80,1,125.54861937496172,30.69091217455586,11.0,15762.455826959014,0,2577,2577,15.0,10.582111188028094,135.7055220984988,542451,2090,5.0,11.0,20.0,0.999904477343988
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr4:75452279-190000000,9491664,1.1294071283200415,723,1,97.24984556050283,26.241706174107843,10.0,9457.532461541652,0,3030,3030,14.0,11.357294500210203,169.12722891215515,8404113,2665,5.0,10.0,19.0,0.9998706307481006
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr5:100000-17500000,1615690,1.1484989877621583,616,1,117.79999471730902,29.225790010555983,11.0,13876.838755398034,0,2776,2776,15.0,11.293347954777277,156.93028293645594,1406785,2423,5.0,11.0,20.0,0.9998918561402486
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,1519683,1.2056058084241823,257,1,133.50199754494045,41.566868303828194,10.0,17822.783348489284,0,2504,2504,15.0,7.039756001920624,65.23312989213167,1260515,2140,5.0,10.0,20.0,0.9999206690906468
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,1697450,1.513259125733919,771,1,234.6139999402941,83.60840281746141,15.0,55043.72896798432,0,3290,3290,26.0,4.936434784570669,29.39386038035285,1121719,2699,7.0,15.0,33.0,0.9999200983789064
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr2:16329724-21153113,396562,1.2848815922912675,26,1,164.06622016903813,52.43278857431684,11.0,26917.72460055529,0,2067,2067,16.0,5.858464693762495,40.86268288328476,308638,1761,5.0,11.0,21.0,0.9999389932143636
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr3:60000-66170270,5635880,1.273202669896881,352,1,167.88709604213847,50.89399935254157,11.0,28186.077017462227,0,3798,3798,16.0,6.951789661386044,62.73807892038329,4426539,2875,6.0,11.0,22.0,0.99993811640542
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr4:52660117-59739333,495807,1.189247987565602,69,1,126.05772619004776,37.756815036374846,10.0,15890.550332205055,0,1771,1771,14.0,6.905245976847693,56.62305672472581,416909,1612,5.0,10.0,19.0,0.9999205406087974
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr4:75452279-190000000,7213774,1.158650648496879,627,1,108.73631923539142,33.97689292057486,9.0,11823.587120860951,0,3497,3497,13.0,7.759106903077741,91.23773591204947,6226014,2365,5.0,9.0,18.0,0.9999020353759884
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr5:100000-17500000,1403739,1.2110228748161345,724,1,133.2002280954628,42.87201501808244,11.0,17742.300764683314,0,2159,2159,15.0,6.646193367799609,54.62072956024889,1159136,1935,6.0,11.0,21.0,0.9998937292940728
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr10:18024675-38818835,1704012,1.0949115884395113,906,1,66.67884420157071,21.91620585207756,11.0,4446.06826405734,0,3131,3131,12.0,14.276491910990318,371.8188199406445,1556302,1564,6.0,11.0,18.0,0.9997145725012976
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr1:17175658-29878082,1738294,1.260250673518332,512,1,153.56027534150283,43.676518586990014,16.0,23580.75816295816,0,6307,6307,16.0,15.97699892146665,427.3115686127508,1379325,2650,9.0,16.0,25.0,0.9998943476327816
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr2:16329724-21153113,433956,1.1886307174415005,109,1,182.27670732729447,32.81931030704758,11.0,33224.798034080166,0,8426,8426,13.0,30.455570153365105,1205.2387307879449,365090,1587,6.0,11.0,19.0,0.9999218892973372
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr3:60000-66170270,6135575,1.1505045150491953,274,1,131.19606438708277,29.02254270811769,12.0,17212.40731065957,0,9068,9068,14.0,28.07596522054163,1232.3597238498448,5332944,4123,6.0,12.0,20.0,0.9999053413650572
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr4:52660117-59739333,565983,1.094736210938407,55,1,69.1574246982737,21.751687121014303,11.0,4782.749390897397,0,1812,1812,12.0,12.114085985896551,201.7704368583453,517005,1265,6.0,11.0,18.0,0.9998102772016656
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr4:75452279-190000000,8066628,1.0875268254157855,350,1,75.0979897256663,20.247143240218584,10.0,5639.708060836279,0,6283,6283,12.0,31.13647369427607,1781.9219029328738,7417407,2805,5.0,10.0,17.0,0.9998275270053152
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr5:100000-17500000,1527899,1.1011591042256892,406,1,71.97696441737276,23.816598896750936,12.0,5180.683406739743,0,2663,2663,13.0,11.955195738662145,226.31661969469445,1387538,1621,6.0,12.0,19.0,0.9997844008905288
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,1182379,1.0789557012560969,71,1,79.03908660727554,27.914898490312595,9.0,6247.177211712404,0,1268,1268,11.0,6.417353360162658,52.68985673286359,1095856,1225,5.0,9.0,16.0,0.9998846868469862
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,1345630,1.2169178191828491,458,1,150.2338520117992,58.46326993859483,14.0,22570.210290303185,0,1759,1759,18.0,4.633278377929248,25.27546442655011,1105770,1691,8.0,14.0,26.0,0.999939268455188
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr2:16329724-21153113,335665,1.088418499531448,44,1,96.83079005447122,31.987700957853164,11.0,9376.201902573084,0,1389,1389,13.0,7.009894568824897,58.89633852686509,308398,1266,6.0,11.0,19.0,0.9999188503237564
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr3:60000-66170270,4857605,1.1088607184622974,275,1,107.99987691536408,35.84643133842443,11.0,11663.97341373379,0,2310,2310,14.0,6.830704121888067,59.81529972795066,4380718,1955,6.0,11.0,20.0,0.9999279138898132
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr4:52660117-59739333,331325,1.0597448871887054,45,1,64.99228003964573,22.01808749164393,8.0,4223.996464751733,0,753,753,10.0,6.38853822280076,46.73041173757181,312647,753,4.0,8.0,14.0,0.9998408076625556
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr4:75452279-190000000,4736869,1.0427511163601102,241,1,53.36049709035312,19.15282325400987,7.0,2847.342649729584,0,1167,1167,9.0,7.0161038367805375,65.42914963022204,4542666,1131,4.0,7.0,13.0,0.999777470901234
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr5:100000-17500000,2115651,1.1217298910268545,392,1,142.6263381153391,42.502644663855165,19.0,20342.272324191035,0,4073,4073,18.0,10.205898598879182,136.0863077394568,1886062,2673,12.0,19.0,30.0,0.999941343237338
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr10:18024675-38818835,1663479,1.4590346830999814,1643,1,205.99174636738127,49.95350067185674,9.0,42432.59957148354,0,4904,4904,14.0,8.489632161738161,94.31926011975276,1140124,3189,4.0,9.0,18.0,0.9998394422580916
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr1:17175658-29878082,2362854,2.116894181899302,1997,1,387.68285172788353,107.54038111791004,13.0,150297.99352386413,0,6298,6298,24.0,6.066875393518783,43.97133271673356,1116190,4519,6.0,13.0,30.0,0.9998811498833295
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr2:16329724-21153113,477121,1.5385639841603571,75,1,263.5151411665345,57.65961645743916,10.0,69440.22962401858,0,4433,4433,15.0,9.04121892366178,98.93453094642146,310109,2929,5.0,10.0,20.0,0.9999079262557354
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr3:60000-66170270,7523354,1.6494069167034986,947,1,298.5203914728609,67.10723948637752,11.0,89114.42412511012,0,8040,8040,16.0,8.713535045637745,97.13636324256262,4561249,5421,5.0,11.0,21.0,0.999908626045775
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr4:52660117-59739333,428382,1.4075863020720385,38,1,182.7456736519419,44.20257344605851,8.0,33395.98123850205,0,2456,2456,11.0,7.543041103353939,66.28578272396558,304339,2186,4.0,8.0,15.0,0.9998958468616737
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr4:75452279-190000000,7212738,1.3512382179193847,1452,1,160.46909186527077,39.83200839884943,8.0,25750.32944406471,0,3124,3124,12.0,7.969076512174404,77.96496606702772,5337874,2886,4.0,8.0,16.0,0.9998736183363844
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr5:100000-17500000,2796247,1.5805336825725378,2402,1,368.8520391616309,63.52110638827027,13.0,136051.82679369327,0,11391,11391,18.0,12.561938110424853,197.17838743123124,1769180,6438,7.0,13.0,25.0,0.9998914441285808
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr10:18024675-38818835,1471864,1.2413690732222409,1474,1,127.11334859955612,37.28663913251394,12.0,16157.803392192274,0,2982,2982,19.0,9.271902664654853,116.46277457993692,1185679,2309,5.0,12.0,24.0,0.9998000871940566
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr1:17175658-29878082,2242868,1.6721149659742227,1052,1,293.0505392726573,86.32117432084554,17.0,85878.61856799528,0,5251,5251,28.0,6.44952930344914,51.21574058263222,1341337,3682,8.0,17.0,36.0,0.9999201450359348
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr2:16329724-21153113,474206,1.264819161421103,107,1,161.09126280301734,42.36372462465426,13.0,25950.3949514708,0,3595,3595,20.0,9.750975327827062,121.34850298029544,374921,2210,6.0,13.0,26.0,0.9999198756029956
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr3:60000-66170270,7016748,1.324007397498957,776,1,188.5008495918849,48.76325781233784,14.0,35532.57029686241,0,5605,5605,22.0,9.788088407110418,128.57381073507327,5299630,4126,6.0,14.0,28.0,0.9999234282654038
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr4:52660117-59739333,454520,1.2157101895836009,89,1,119.14309019062031,33.843107151358886,11.0,14195.075940170284,0,2059,2059,17.0,8.922612971938486,97.7948578732424,373873,1756,5.0,11.0,22.0,0.9998881191414252
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr4:75452279-190000000,6637866,1.161096973670309,862,1,87.58616618535828,28.941910229909848,11.0,7671.336507049197,0,2237,2237,17.0,8.96869807617542,107.32588443638458,5716893,2012,5.0,11.0,22.0,0.9998283660136644
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr5:100000-17500000,2989845,1.2653350476196925,913,1,207.8609952924789,46.484624119033946,18.0,43206.19336397995,0,6556,6556,24.0,14.019810337126552,248.26266463591008,2362889,4636,9.0,18.0,33.0,0.9999256191052812
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,1522810,1.1615947031385276,1035,1,122.29180042314955,38.19314535998645,12.0,14955.28445073544,0,2528,2528,15.0,7.320464569070064,69.31414764188403,1310966,1961,6.0,12.0,21.0,0.9998712110058472
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,1344018,1.3951632910879948,355,1,194.0139857082393,75.96666085357018,14.0,37641.42665039689,0,2735,2735,28.0,4.672716696737313,27.4869948145578,963342,2254,7.0,14.0,35.0,0.999939078795534
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr2:16329724-21153113,575040,1.2879412291703995,46,1,198.65385282698256,60.45171463063378,15.0,39463.35324300444,0,2744,2744,20.0,6.656792486706276,53.15162722265831,446481,2396,8.0,15.0,28.0,0.9999514936569418
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr3:60000-66170270,4887023,1.2032983565095008,346,1,140.7820663436974,44.997903656339496,11.0,19819.59020400121,0,2915,2915,17.0,6.794287641870001,61.50296787235969,4061357,2595,5.0,11.0,22.0,0.9999340005078222
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr4:52660117-59739333,446665,1.1380724886935474,78,1,108.76435134091936,33.45213210489304,10.0,11829.684122610946,0,1524,1524,14.0,6.974594426074229,58.12996275162681,392476,1413,5.0,10.0,19.0,0.9999122894206496
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr4:75452279-190000000,6999284,1.108672415879587,269,1,91.19741898955128,29.417045963758863,10.0,8316.969230355768,0,2671,2671,13.0,7.805640927829244,85.29100689079975,6313213,2111,5.0,10.0,18.0,0.999892533133558
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr5:100000-17500000,1097084,1.1534047541448953,675,1,115.37920807266404,35.80632399431858,10.0,13312.361655475104,0,2517,2517,14.0,7.357603873757642,72.83035701730529,951171,1726,5.0,10.0,19.0,0.9998809603120916
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr10:18024675-38818835,1769855,1.1725972706059449,2067,1,115.6080002017532,26.91040893843497,9.0,13365.209710648567,0,6182,6182,11.0,17.00550850346337,552.551280959379,1509347,2179,5.0,9.0,16.0,0.999760162832925
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr1:17175658-29878082,1634775,1.4592948002677977,804,1,213.77965958669347,56.289904673149145,11.0,45701.74285300254,0,9915,9915,15.0,13.931509322753866,410.0538069848543,1120251,2837,6.0,11.0,21.0,0.9999040818568838
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr2:16329724-21153113,713895,1.4489916457607717,272,1,421.0596247912577,56.08439469437876,14.0,177291.2076293547,0,22556,22556,14.0,34.66037526475467,1582.3062684712504,492685,3173,8.0,14.0,22.0,0.9999290492203452
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr3:60000-66170270,6096677,1.263015267404877,327,1,197.99469094097805,35.76638432908329,9.0,39201.89764081341,0,13186,13186,11.0,26.376791105732863,1143.4828460001218,4827082,4899,5.0,9.0,16.0,0.999917713592612
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr4:52660117-59739333,549572,1.1866217558405665,103,1,135.35436746231653,26.954229921341447,9.0,18320.80479112381,0,4537,4537,11.0,17.748798412695425,450.89686391116095,463141,1716,4.0,9.0,15.0,0.9998969627415664
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr4:75452279-190000000,8360531,1.1479939324959276,456,1,121.13576241951806,23.68348320383065,8.0,14673.872936957923,0,14671,14671,10.0,38.30226461454978,3128.0473194744977,7282732,3617,4.0,8.0,14.0,0.9998892033631198
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr5:100000-17500000,1264039,1.1585771937816387,758,1,105.43406250677724,24.80114717495793,8.0,11116.341536683012,0,4872,4872,10.0,15.73165408653281,445.6463874242437,1091028,1913,4.0,8.0,14.0,0.9998321471573108
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr10:18024675-38818835,2192806,1.3675430193630789,1813,1,177.75560393478128,45.84041310536868,15.0,31597.05473021883,0,4142,4142,20.0,9.3406805601568,107.34381696762108,1603465,3084,7.0,15.0,27.0,0.9998199464019588
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr1:17175658-29878082,2155456,1.6403699830898792,1073,1,229.26027096358808,71.50090144116432,18.0,52560.27184229782,0,3552,3552,27.0,6.225017698249436,45.72083451285207,1314007,2914,9.0,18.0,36.0,0.999874747540581
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr2:16329724-21153113,853224,1.5204701706114856,104,1,257.6030721715463,62.77393572944567,18.0,66359.34279221889,0,4795,4795,25.0,8.998552659529814,96.78106982563196,561159,3492,9.0,18.0,34.0,0.9999079629906216
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr3:60000-66170270,7212010,1.4143558884739176,912,1,187.5585059027912,50.390538107437145,14.0,35178.19313648737,0,5368,5368,20.0,8.536841415068645,95.50011886890536,5099149,3650,7.0,14.0,27.0,0.9998881295566968
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr4:52660117-59739333,637078,1.3327740691074854,158,1,156.15113811004284,42.10899981171942,13.0,24383.17793306167,0,2493,2493,19.0,8.310039868950378,79.62515694586067,478010,2161,7.0,13.0,26.0,0.999877377364674
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr4:75452279-190000000,9249650,1.329810137619711,1118,1,154.87950779299948,41.25479878279687,13.0,23987.661934201788,0,3763,3763,18.0,8.878110987697335,96.63357946819345,6955618,3163,7.0,13.0,25.0,0.999865276798418
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr5:100000-17500000,1536790,1.31833751821862,1408,1,143.54802005884224,40.872884540157706,13.0,20606.03406281377,0,3139,3139,18.0,8.17800208523004,81.47398998347266,1165704,2194,7.0,13.0,25.0,0.9998046622203242
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UW_/problems/chr10:18024675-38818835,1996580,1.2048471960138143,1402,1,122.14989435045128,35.45658140247803,13.0,14920.596689826409,0,3361,3361,20.0,10.08478865905191,135.38698044382164,1657124,2456,6.0,13.0,26.0,0.9998101581323224
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UW_/problems/chr1:17175658-29878082,1970798,1.478778738219581,672,1,202.4746420460932,67.46118880095683,17.0,40995.98067169356,0,3821,3821,27.0,6.095310303784131,46.56755835312988,1332721,2645,8.0,17.0,35.0,0.9999053346678816
