sequenceID,min.log.lambda,max.log.lambda
118_chr17,-2.058774545,inf
118_chr3,-1.108489107,inf
118_chr4,-1.616843702,inf
119_chr1,-1.557188224,inf
119_chr11,-100,1.896883315
119_chr17,-100,1.548382788
119_chr2,-100,1.137601776
119_chr3,-100,1.991521896
119_chr4,-3.909163135,inf
12_chr1,-1.866083319,inf
12_chr11,-100,2.956763475
12_chr17,-100,2.537039252
12_chr2,-100,1.953343481
12_chr3,-3.280439091,inf
12_chr4,-3.759672807,inf
120_chr1,-0.51388223,inf
120_chr11,-3.579011355,inf
120_chr17,-2.184581832,inf
120_chr2,-3.450873923,inf
120_chr3,-3.022093948,inf
120_chr4,-3.974580929,inf
121_chr1,-100,2.168646847
121_chr11,-100,2.469394981
121_chr17,-100,0.956804395
121_chr2,-100,1.756583503
121_chr3,-100,2.227715028
121_chr4,-1.283256134,inf
122_chr1,-2.648715007,inf
122_chr11,-2.642594204,inf
122_chr17,-1.071581918,inf
122_chr2,-2.355241985,inf
122_chr3,-2.068410093,inf
122_chr4,-2.156549352,inf
123_chr1,0.808521533,inf
123_chr11,-100,2.236521366
123_chr17,-100,2.083864147
123_chr2,-1.103598278,inf
123_chr3,-100,1.60349227
123_chr4,-100,0.537610392
124_chr1,-1.195193738,inf
124_chr11,-1.399576667,inf
124_chr17,-2.152742524,inf
124_chr2,-2.581782292,inf
124_chr3,-2.203169336,inf
124_chr4,-2.415645847,inf
125_chr1,-0.718469569,inf
125_chr11,-3.238722788,inf
125_chr17,-2.242180014,inf
125_chr2,-2.715935991,inf
125_chr3,-3.612005813,inf
125_chr4,-4.245312113,inf
126_chr1,-0.243463403,inf
126_chr11,-1.774100555,inf
126_chr17,-1.59054405,inf
126_chr2,-3.700912094,inf
126_chr3,-2.596837125,inf
126_chr4,-1.04759596,inf
127_chr1,-0.203740735,inf
127_chr11,-1.87814483,inf
127_chr17,-100,1.197357919
127_chr2,-0.57015537,inf
127_chr3,-1.432352562,inf
127_chr4,-100,2.294128268
128_chr1,-2.718147424,inf
128_chr11,-100,2.571309254
128_chr17,-100,2.530581445
128_chr2,-100,1.078236157
128_chr3,-100,1.439527052
128_chr4,-3.024661662,inf
129_chr1,1.357714684,inf
129_chr11,-0.873625596,inf
129_chr17,-1.875294129,inf
129_chr2,-1.989348406,inf
129_chr3,-1.753126615,inf
129_chr4,0.025334212,inf
13_chr1,0.366866754,inf
13_chr11,-1.593132738,inf
13_chr17,-2.449404463,inf
13_chr2,-2.526771223,inf
13_chr3,-2.485079495,inf
13_chr4,-1.542839663,inf
130_chr1,-2.767658751,inf
130_chr11,-3.889825148,inf
130_chr17,-1.726632281,inf
130_chr2,-2.5056928,inf
130_chr3,-2.665545066,inf
130_chr4,-2.730325964,inf
131_chr1,-2.658907164,inf
131_chr11,-100,1.166487863
131_chr17,-2.37038344,inf
131_chr2,-3.065792954,inf
131_chr3,-3.979385074,inf
131_chr4,-3.489232938,inf
132_chr1,0.182631412,inf
132_chr11,-0.753680791,inf
132_chr17,-0.381839631,inf
132_chr2,-0.925522101,inf
132_chr3,-1.732703919,inf
132_chr4,-0.675425512,inf
133_chr1,-0.003206471,inf
133_chr11,1.593402798,inf
133_chr2,-100,3.139926658
133_chr3,-2.314182857,inf
133_chr4,-2.340330262,inf
134_chr1,-1.323541302,inf
134_chr11,-4.68113799,inf
134_chr17,-3.474941186,inf
134_chr2,-4.547133021,inf
134_chr3,-4.494953169,inf
134_chr4,-3.453868267,inf
135_chr1,-2.096903183,inf
135_chr11,-2.454452686,inf
135_chr17,-1.060846024,inf
135_chr2,-2.051624816,inf
135_chr3,-2.311939234,inf
135_chr4,-1.594082109,inf
136_chr1,-1.574378449,inf
136_chr11,-2.137470889,inf
136_chr17,-1.76507622,inf
136_chr2,-2.022597486,inf
136_chr3,-2.495811359,inf
136_chr4,-2.098675542,inf
137_chr1,-1.463199291,inf
137_chr11,-2.474599165,inf
137_chr17,-2.225132631,inf
137_chr2,-100,2.161271877
137_chr3,-2.243788663,inf
137_chr4,-1.450904933,inf
138_chr1,-100,1.500075429
138_chr11,-0.790054088,inf
138_chr17,-1.716530999,inf
138_chr2,-2.748152199,inf
138_chr3,-1.448424517,inf
138_chr4,-0.527220034,inf
139_chr1,-2.618447312,inf
139_chr11,-100,1.72414047
139_chr17,-100,0.522616287
139_chr2,-3.456185132,inf
139_chr3,-100,0.599945737
139_chr4,-4.390599874,inf
14_chr11,-3.252992506,inf
14_chr17,-2.573560087,inf
14_chr2,-100,3.639184636
14_chr3,-2.196191187,inf
14_chr4,-3.028047301,inf
140_chr1,-0.334239813,inf
140_chr11,-2.280852798,inf
140_chr17,-1.795290544,inf
140_chr2,-100,0.532141622
140_chr3,-2.249662008,inf
140_chr4,-1.462715351,inf
141_chr1,-2.103511003,inf
141_chr11,-2.483748698,inf
141_chr17,-2.219107456,inf
141_chr2,-100,-0.828177236
141_chr3,-2.386809711,inf
141_chr4,-1.874451156,inf
142_chr1,0.366786935,inf
142_chr11,-0.701089942,inf
142_chr17,-0.135288943,inf
142_chr2,-0.982407562,inf
142_chr3,-1.623002209,inf
142_chr4,-0.548486429,inf
143_chr1,-1.2264107,inf
143_chr11,-2.653448057,inf
143_chr17,-2.431984935,inf
143_chr2,-1.648916809,inf
143_chr3,-2.182031355,inf
143_chr4,-1.784999791,inf
144_chr1,-100,4.412586037
144_chr11,-1.327398611,inf
144_chr17,-100,1.663473959
144_chr2,-100,2.185970144
144_chr3,-2.008789785,inf
144_chr4,-1.781973808,inf
145_chr1,-100,1.624438089
145_chr11,-100,1.438229753
145_chr17,-100,1.882998456
145_chr2,-100,1.156498327
145_chr3,-100,1.582550878
145_chr4,-100,-0.03449357
146_chr1,-1.676583663,inf
146_chr11,-2.534742697,inf
146_chr17,-2.288732579,inf
146_chr2,-2.869518315,inf
146_chr3,-3.3128583,inf
146_chr4,-2.099966098,inf
147_chr11,-100,1.912080066
147_chr17,-100,0.765947653
147_chr2,-2.671320584,inf
147_chr3,-3.737109891,inf
147_chr4,-3.529158381,inf
148_chr1,-0.983725301,inf
148_chr11,-3.813998191,inf
148_chr17,-2.803563806,inf
148_chr2,-2.294128149,inf
148_chr3,-3.952900893,inf
148_chr4,-3.711481633,inf
149_chr1,-1.894429126,inf
149_chr11,-100,1.701810542
149_chr17,-100,1.96762094
149_chr2,-100,0.223522291
149_chr3,-100,2.448462682
149_chr4,-2.524769966,inf
15_chr1,-100,2.943718191
15_chr11,-2.238030427,inf
15_chr17,-2.781916601,inf
15_chr2,-100,3.359340601
15_chr3,-1.555378113,inf
15_chr4,-3.293981359,inf
150_chr1,0.312897747,inf
150_chr11,-100,2.26221766
150_chr17,-100,1.434340859
150_chr2,-2.79338717,inf
150_chr3,-2.220248888,inf
150_chr4,-1.22698579,inf
151_chr1,-1.263007706,inf
151_chr11,-2.945193214,inf
151_chr17,-1.085742371,inf
151_chr2,-3.190713952,inf
151_chr3,-2.649333442,inf
151_chr4,-2.437165089,inf
152_chr1,-0.046741395,inf
152_chr11,-0.87842296,inf
152_chr17,-1.366522863,inf
152_chr2,-1.728428974,inf
152_chr3,-2.675994485,inf
152_chr4,-2.47359843,inf
153_chr1,-0.427000142,inf
153_chr11,-100,-1.130962209
153_chr17,-100,0.278995541
153_chr2,-100,1.451846229
153_chr3,-2.956810942,inf
153_chr4,-100,0.598681876
154_chr1,-2.299444783,inf
154_chr11,-2.751859642,inf
154_chr17,-2.090930869,inf
154_chr2,-2.359840827,inf
154_chr3,-2.395116377,inf
154_chr4,-2.035266801,inf
155_chr1,-1.569499306,inf
155_chr11,-100,2.732077213
155_chr17,-100,1.625523963
155_chr2,-2.553675711,inf
155_chr3,-3.14350684,inf
155_chr4,-2.674862889,inf
156_chr1,-1.541897783,inf
156_chr11,-1.511229162,inf
156_chr17,-1.43842177,inf
156_chr2,-1.849564761,inf
156_chr3,-1.760387377,inf
156_chr4,-1.294338218,inf
157_chr1,-3.084219642,inf
157_chr11,-2.623976966,inf
157_chr17,-1.780540152,inf
157_chr2,-1.639997396,inf
157_chr3,-2.369223108,inf
157_chr4,-1.955433062,inf
158_chr1,-0.81747487,inf
158_chr11,-0.969349123,inf
158_chr17,-1.354049284,inf
158_chr2,-1.958342514,inf
158_chr3,-2.099122245,inf
158_chr4,-2.226276378,inf
159_chr1,-2.528215358,inf
159_chr11,-3.213984007,inf
159_chr17,-1.888450715,inf
159_chr2,-2.951817464,inf
159_chr3,-2.069650116,inf
159_chr4,-2.192494759,inf
16_chr1,-0.209014158,inf
16_chr11,-1.844382733,inf
16_chr17,-2.808461114,inf
16_chr2,-2.392148326,inf
16_chr3,-3.13049466,inf
16_chr4,-1.344521403,inf
160_chr1,-2.798476157,inf
160_chr11,-2.188644175,inf
160_chr17,-1.888722223,inf
160_chr2,-1.887317704,inf
160_chr3,-2.264501978,inf
160_chr4,-3.639945385,inf
161_chr1,-100,3.622531484
161_chr17,-100,1.550581232
161_chr2,-100,4.79404058
161_chr3,-2.2531716,inf
161_chr4,-1.708797971,inf
162_chr1,-1.645946269,inf
162_chr11,1.298707026,inf
162_chr17,-100,1.733950197
162_chr2,-3.169663597,inf
162_chr3,-100,1.724279941
162_chr4,-2.20879408,inf
163_chr1,-0.645975438,inf
163_chr11,-3.294678904,inf
163_chr17,-3.063198473,inf
163_chr2,-3.491793736,inf
163_chr3,-2.694442345,inf
163_chr4,-2.590599563,inf
164_chr1,-0.731175513,inf
164_chr11,-3.078121823,inf
164_chr17,-3.595174797,inf
164_chr2,-4.256334233,inf
164_chr3,-3.644753064,inf
164_chr4,-2.91848167,inf
165_chr1,-1.230604254,inf
165_chr11,-1.972307848,inf
165_chr17,-1.791450484,inf
165_chr2,-2.4001001,inf
165_chr3,-2.164527419,inf
165_chr4,-0.68764899,inf
166_chr1,-1.728722493,inf
166_chr11,-2.941563298,inf
166_chr17,-2.274421009,inf
166_chr2,-2.993692408,inf
166_chr3,-2.393842409,inf
166_chr4,-2.451468098,inf
167_chr1,-1.625650748,inf
167_chr11,-100,1.619624727
167_chr17,-100,1.989329619
167_chr2,-2.880751356,inf
167_chr3,-100,1.06688804
167_chr4,-100,0.978301037
168_chr1,-100,2.682305122
168_chr11,-100,1.582045079
168_chr17,-1.247838257,inf
168_chr2,-100,1.805839067
168_chr3,-100,-0.105055976
168_chr4,-2.904327752,inf
169_chr1,-100,3.328336126
169_chr11,-1.978438928,inf
169_chr17,-100,1.280334959
169_chr2,-1.840311916,inf
169_chr3,-1.326449077,inf
169_chr4,-2.039867377,inf
17_chr1,0.915581676,inf
17_chr11,-100,0.727907281
17_chr17,-100,1.343928035
17_chr2,-3.638099911,inf
17_chr3,-3.991870386,inf
17_chr4,-2.475949388,inf
170_chr1,-1.759635726,inf
170_chr11,-3.540127699,inf
170_chr17,-3.392088473,inf
170_chr2,-3.64380245,inf
170_chr3,-3.640753102,inf
170_chr4,-3.320151925,inf
171_chr1,-1.515993516,inf
171_chr11,-3.368492553,inf
171_chr17,-2.227076964,inf
171_chr2,-3.352417271,inf
171_chr3,-3.315562912,inf
171_chr4,-3.257196834,inf
172_chr1,-1.264163779,inf
172_chr11,-2.389969954,inf
172_chr17,-100,0.557902447
172_chr2,-3.84434453,inf
172_chr3,-100,0.747023913
172_chr4,-100,-0.041410687
173_chr1,-2.733167945,inf
173_chr11,-100,0.924580485
173_chr17,-100,1.666062229
173_chr2,-2.91382139,inf
173_chr3,-3.390892273,inf
173_chr4,-100,0.341962975
175_chr1,-2.355004536,inf
175_chr11,-2.053312921,inf
175_chr17,-2.846147058,inf
175_chr2,-3.756173486,inf
175_chr3,-2.631365346,inf
175_chr4,-3.30463884,inf
176_chr1,-3.252928724,inf
176_chr11,-2.810943006,inf
176_chr17,-1.713711701,inf
176_chr2,-2.795308523,inf
176_chr3,-1.9913714,inf
176_chr4,-2.067612315,inf
177_chr1,-0.843481462,inf
177_chr11,-2.719692994,inf
177_chr17,-2.098225362,inf
177_chr2,-2.463954652,inf
177_chr3,-2.382382918,inf
177_chr4,-3.359096309,inf
178_chr1,-100,1.38792467
178_chr11,-1.371636127,inf
178_chr17,-0.519970073,inf
178_chr2,-1.884627751,inf
178_chr3,-1.811623691,inf
178_chr4,-0.875272471,inf
18_chr1,-1.20012569,inf
18_chr11,-100,1.332750696
18_chr17,-100,1.67822564
18_chr2,-2.802919524,inf
18_chr3,-100,2.489423304
18_chr4,-100,2.186218528
180_chr1,-100,2.949931081
180_chr11,-100,1.423773898
180_chr17,-100,0.409745787
180_chr2,-100,1.362686362
180_chr3,-1.139102935,inf
180_chr4,-2.219983242,inf
181_chr11,-3.13873041,inf
181_chr17,-1.336039126,inf
181_chr2,-2.782249804,inf
181_chr3,-2.576384195,inf
181_chr4,-1.268542771,inf
182_chr1,-100,3.285052576
182_chr11,-100,0.493712062
182_chr17,-100,0.733407592
182_chr2,-100,4.043049933
182_chr3,-1.352021611,inf
183_chr1,-100,3.709212488
183_chr11,-4.086115241,inf
183_chr17,-2.274557016,inf
183_chr2,-2.226797752,inf
183_chr3,-4.627753444,inf
183_chr4,-2.872934401,inf
184_chr1,-0.937830959,inf
184_chr11,-2.80210741,inf
184_chr17,-2.818749262,inf
184_chr2,-1.343945513,inf
184_chr3,-1.613009206,inf
184_chr4,-1.605185563,inf
185_chr1,-1.165947265,inf
185_chr11,-100,2.04566684
185_chr17,-100,2.179205092
185_chr2,-2.655233674,inf
185_chr3,-3.383469698,inf
185_chr4,-2.419839429,inf
186_chr1,-0.248516389,inf
186_chr11,-2.959678646,inf
186_chr17,-2.197998508,inf
186_chr2,-3.541376602,inf
186_chr3,-2.996332634,inf
186_chr4,-1.519421868,inf
187_chr1,-0.328836299,inf
187_chr11,-2.72756812,inf
187_chr17,-0.973983195,inf
187_chr2,-2.29297437,inf
187_chr3,-1.125473424,inf
187_chr4,-2.51921979,inf
188_chr1,-2.046478474,inf
188_chr11,-100,1.870442855
188_chr2,-100,2.130796925
188_chr3,-100,2.484658716
188_chr4,-3.044427299,inf
189_chr1,-0.228921649,inf
189_chr11,-100,2.884483917
189_chr17,-100,2.644143949
189_chr2,-100,-0.196821954
189_chr3,-100,1.478112563
189_chr4,-1.61560445,inf
19_chr1,-0.375042704,inf
19_chr11,-3.207200939,inf
19_chr17,-1.742775343,inf
19_chr2,-2.659600706,inf
19_chr3,-3.56300726,inf
19_chr4,-1.224646264,inf
190_chr1,-1.582975041,inf
190_chr11,-100,2.261634726
190_chr17,-100,2.514384467
190_chr2,-1.48755368,inf
190_chr3,-100,1.360428357
190_chr4,-100,1.952752775
191_chr1,-100,1.594085836
191_chr11,-100,1.434193043
191_chr17,-100,1.342424114
191_chr2,-2.928829773,inf
191_chr3,-100,1.333436542
191_chr4,-2.19066423,inf
192_chr1,-100,0.919257591
192_chr11,-2.341698577,inf
192_chr17,-100,-0.951317302
192_chr2,-100,1.555014182
192_chr3,-2.37284814,inf
192_chr4,-1.778099216,inf
193_chr1,-2.587549703,inf
193_chr11,-2.498471988,inf
193_chr17,-2.321141063,inf
193_chr2,-1.97396039,inf
193_chr3,-2.43158477,inf
193_chr4,-3.494779075,inf
194_chr1,-2.540679418,inf
194_chr11,-2.940737261,inf
194_chr17,-100,1.242359191
194_chr2,-2.522898377,inf
194_chr3,-100,1.881115048
194_chr4,-100,0.939285874
195_chr1,-1.9129375,inf
195_chr11,-2.876404646,inf
195_chr17,-2.222053533,inf
195_chr2,-2.532248897,inf
195_chr3,-2.427188884,inf
195_chr4,-4.440363227,inf
196_chr1,0.354260409,inf
196_chr11,-0.946341799,inf
196_chr17,-0.236225919,inf
196_chr2,-0.792176423,inf
196_chr3,-1.497294567,inf
196_chr4,-0.70231511,inf
197_chr1,-0.82619959,inf
197_chr11,-2.863072461,inf
197_chr17,-0.492666882,inf
197_chr2,-2.668787428,inf
197_chr3,-2.724379498,inf
197_chr4,-2.369593725,inf
198_chr1,-1.354176895,inf
198_chr11,-2.997914517,inf
198_chr17,-2.186927397,inf
198_chr2,-3.224240018,inf
198_chr3,-2.880530875,inf
198_chr4,-2.694461105,inf
199_chr1,-0.594145125,inf
199_chr11,-2.70662011,inf
199_chr17,-1.888383092,inf
199_chr2,-2.928643105,inf
199_chr3,-2.753592225,inf
199_chr4,-1.669153431,inf
2_chr1,-100,4.261398356
2_chr11,-2.870890719,inf
2_chr17,-100,2.717010284
2_chr2,-100,3.974825772
2_chr3,-2.190163083,inf
2_chr4,-1.532962048,inf
20_chr1,-100,2.752232975
20_chr11,-3.62325138,inf
20_chr17,-100,1.641410564
20_chr2,-3.012608952,inf
20_chr3,-2.75947819,inf
20_chr4,-2.682517175,inf
200_chr1,-2.492872882,inf
200_chr11,-2.826564708,inf
200_chr17,-1.80205135,inf
200_chr2,-2.457789084,inf
200_chr3,-2.392489154,inf
200_chr4,-1.713374045,inf
201_chr1,-100,2.811542988
201_chr11,-100,2.069627948
201_chr17,-100,1.297058262
201_chr2,-100,1.928902963
201_chr3,-2.667010907,inf
201_chr4,-2.259154073,inf
202_chr1,-0.895371401,inf
202_chr11,-100,2.639461966
202_chr17,-100,2.982222531
202_chr2,-100,1.960712246
202_chr3,-100,2.995722614
202_chr4,-100,2.270263145
203_chr1,-1.781278956,inf
203_chr11,-2.153126253,inf
203_chr17,-2.325404757,inf
203_chr2,-2.151308281,inf
203_chr3,-2.2393212,inf
203_chr4,-2.694079402,inf
204_chr1,-2.887910953,inf
204_chr11,-100,2.853294201
204_chr17,-100,2.264378843
204_chr2,-3.032567937,inf
204_chr3,-3.696049719,inf
204_chr4,-2.183164939,inf
205_chr1,-2.722628619,inf
205_chr11,-1.549656727,inf
205_chr17,-1.848849951,inf
205_chr2,-1.981663929,inf
205_chr3,-1.952411995,inf
205_chr4,-1.947302988,inf
206_chr1,-0.610589428,inf
206_chr11,-2.104899118,inf
206_chr17,-2.717378104,inf
206_chr2,-1.860583905,inf
206_chr3,-2.089858004,inf
206_chr4,-2.69107103,inf
207_chr1,-100,4.503885262
207_chr11,-1.157989477,inf
207_chr17,-100,2.081955984
207_chr2,-100,3.47155907
207_chr3,-3.654883032,inf
208_chr1,-2.762465604,inf
208_chr11,0.802141991,inf
208_chr17,-3.084675217,inf
208_chr2,-2.341037619,inf
208_chr3,-2.428189499,inf
208_chr4,-3.699195057,inf
209_chr1,-100,1.586653232
209_chr11,-100,4.149946025
209_chr17,-100,2.92512648
209_chr2,-100,0.225563579
209_chr3,-1.384164551,inf
209_chr4,-1.140191126,inf
21_chr1,-0.079113051,inf
21_chr11,-2.713587265,inf
21_chr17,-1.574877954,inf
21_chr2,-2.927740371,inf
21_chr3,-3.696505823,inf
21_chr4,-1.185995017,inf
210_chr1,-2.718146211,inf
210_chr11,-2.695633977,inf
210_chr17,-3.231186184,inf
210_chr2,-3.539207729,inf
210_chr3,-0.981628021,inf
210_chr4,-2.872166664,inf
211_chr1,-2.585493487,inf
211_chr11,-100,-0.183813974
211_chr2,-2.446919223,inf
211_chr3,-100,-0.326979144
211_chr4,-3.286997076,inf
212_chr1,-100,1.670326814
212_chr11,-0.783270256,inf
212_chr17,-0.283537067,inf
212_chr2,-1.686782727,inf
212_chr3,-1.324290634,inf
212_chr4,-0.821865466,inf
213_chr1,-2.434597306,inf
213_chr11,-2.766001299,inf
213_chr17,-2.030432237,inf
213_chr2,-2.340833607,inf
213_chr3,-2.923650084,inf
213_chr4,-2.741980178,inf
214_chr1,-100,4.229231655
214_chr11,-2.851042733,inf
214_chr17,-100,2.03427909
214_chr2,-100,3.660815409
214_chr3,-2.162315291,inf
214_chr4,-3.129566238,inf
215_chr1,-100,5.314909344
215_chr11,-1.973475493,inf
215_chr17,-100,1.859309874
215_chr2,-1.830688061,inf
215_chr3,0.186422815,inf
215_chr4,-100,0.349767567
216_chr1,-100,2.880048874
216_chr11,-100,3.151199958
216_chr17,-100,2.791124718
216_chr2,-0.73512765,inf
216_chr3,-100,2.205930964
216_chr4,-1.938532188,inf
217_chr1,-0.814524501,inf
217_chr11,-3.329848343,inf
217_chr17,-100,-1.059398249
217_chr2,-3.586763035,inf
217_chr3,-3.469781603,inf
217_chr4,-3.036493902,inf
218_chr1,-0.419128615,inf
218_chr11,-0.137896143,inf
218_chr17,-2.592149124,inf
218_chr2,-1.384805603,inf
218_chr3,-1.852678623,inf
218_chr4,-2.384794306,inf
219_chr1,-0.176892141,inf
219_chr11,-1.748111195,inf
219_chr17,-2.667513804,inf
219_chr2,-0.540284697,inf
219_chr3,-3.115831228,inf
219_chr4,-2.20964446,inf
22_chr1,-100,2.282614239
22_chr11,-1.414267087,inf
22_chr17,-100,1.138873523
22_chr2,-1.932457966,inf
22_chr3,-0.541550885,inf
22_chr4,-0.893554454,inf
220_chr1,0.365534393,inf
220_chr11,-100,1.965560778
220_chr17,-100,2.222255787
220_chr2,-2.173631099,inf
220_chr3,-100,-1.065315545
220_chr4,-1.517825963,inf
221_chr1,-2.87610379,inf
221_chr11,-2.965087318,inf
221_chr17,-1.824962332,inf
221_chr2,-2.867084363,inf
221_chr3,-2.069502133,inf
221_chr4,-1.466413492,inf
222_chr1,-0.523780897,inf
222_chr11,-2.940689664,inf
222_chr17,-1.985398644,inf
222_chr2,-2.129450888,inf
222_chr3,-3.277025225,inf
222_chr4,-3.128090151,inf
223_chr1,-0.566723831,inf
223_chr11,-1.950056226,inf
223_chr17,-3.15686721,inf
223_chr2,-2.876696869,inf
223_chr3,-1.692509794,inf
223_chr4,-1.111804937,inf
224_chr1,-1.557255129,inf
224_chr11,-100,2.149781116
224_chr17,-100,1.756797953
224_chr2,-2.844707251,inf
224_chr3,-0.598764606,inf
224_chr4,-100,0.219538745
225_chr1,-3.008529677,inf
225_chr11,-3.907661714,inf
225_chr17,-2.289466144,inf
225_chr2,-3.724670011,inf
225_chr3,-2.950771027,inf
225_chr4,-2.74745048,inf
226_chr1,-100,2.051617674
226_chr11,-3.079923222,inf
226_chr17,-100,0.623700694
226_chr2,-100,3.20565003
226_chr3,-2.753867724,inf
226_chr4,-2.933980648,inf
227_chr1,-2.499795329,inf
227_chr11,-2.882821651,inf
227_chr17,-100,-1.088553536
227_chr2,-100,-0.704096475
227_chr3,-1.132691802,inf
227_chr4,-100,0.404460415
228_chr1,-100,2.934900374
228_chr11,-2.377293284,inf
228_chr17,-100,0.625635523
228_chr2,-100,4.415535815
228_chr3,-2.937411336,inf
228_chr4,-2.237982814,inf
229_chr1,1.221163423,inf
229_chr11,0.427306102,inf
229_chr17,1.05481949,inf
229_chr2,0.387578058,inf
229_chr3,0.51761475,inf
229_chr4,0.643163121,inf
23_chr1,-0.104674416,inf
23_chr11,-2.992873523,inf
23_chr17,-1.946331561,inf
23_chr2,-3.279911817,inf
23_chr3,-3.24998348,inf
23_chr4,-1.953838226,inf
230_chr1,-100,4.052110414
230_chr11,-2.159712115,inf
230_chr17,-100,1.990502518
230_chr2,-100,3.724617606
230_chr3,-2.274847493,inf
230_chr4,-1.166535464,inf
231_chr1,-2.285781274,inf
231_chr11,-2.265330596,inf
231_chr17,-2.013235804,inf
231_chr2,-1.969347609,inf
231_chr3,-1.663977972,inf
231_chr4,-1.517311641,inf
232_chr1,-100,2.703409096
232_chr11,-2.089948529,inf
232_chr17,-100,1.204008617
232_chr2,-100,3.892041768
232_chr3,-2.503360639,inf
232_chr4,-0.991095947,inf
233_chr1,-100,3.133144248
233_chr11,-3.438494063,inf
233_chr17,-100,1.228581159
233_chr2,-100,3.47441145
233_chr3,-2.280291895,inf
233_chr4,-3.276543754,inf
234_chr1,-2.126957917,inf
234_chr11,-100,2.246774701
234_chr17,-100,2.409586892
234_chr2,-2.887772714,inf
234_chr3,-4.270548424,inf
234_chr4,-100,0.351849059
235_chr1,-0.503090854,inf
235_chr11,-100,3.828736476
