sequenceID,range_value,variance,sum_diff,length
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr4:75452279-190000000,1141,173.3628163,114547721,4942198
ATAC_JV_adipose/samples/AC1/MSC91/problems/chrX:37148256-49242997,867,240.396523,12094741,614187
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr10:18024675-38818835,708,135.9667128,20794160,1614017
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr10:51448845-125869472,1020,183.4857575,74420627,6268518
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr11:69774695-87688378,888,230.3766142,17913683,1630782
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr12:145739-7189876,953,338.3143028,7044137,770080
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr12:66500000-109373470,742,125.0878749,42873470,3108146
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr14:19050000-107289540,1179,191.5358069,88239540,7254954
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr16:46510000-88389383,809,224.412802,41879383,3935642
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr1:206482221-223747846,677,153.9798528,17265625,1410220
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr1:521368-2634220,4343,1400.103321,2112852,301400
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr22:20700000-50364777,1067,369.4584425,29664777,3363825
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr2:162200000-234003741,756,130.2912499,71803741,5374259
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr3:60000-66170270,882,173.4456008,66110270,5763179
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr4:75452279-190000000,767,82.23536664,114547721,7765824
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr6:60000-58087659,859,176.6365492,58027659,4638836
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr8:48135599-86500000,838,78.06151288,38364401,2705130
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr8:87000000-142766515,774,126.167156,55766515,4345537
ATAC_JV_adipose/samples/AC2/MSC70/problems/chrX:37148256-49242997,522,110.0101582,12094741,988876
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr10:18024675-38818835,619,127.2478495,20794160,1531497
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr10:51448845-125869472,814,162.9597444,74420627,5878077
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr11:69774695-87688378,925,202.5381561,17913683,1509468
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr12:145739-7189876,995,312.3051903,7044137,708155
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr12:66500000-109373470,699,117.3259222,42873470,2982877
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr14:19050000-107289540,1018,162.472023,88239540,6744361
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr16:46510000-88389383,734,191.4161384,41879383,3600910
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr1:206482221-223747846,652,145.5643828,17265625,1333519
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr1:521368-2634220,24288,23485.4052,2112852,249709
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr22:20700000-50364777,1000,300.4670397,29664777,2986612
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr2:162200000-234003741,721,117.5534145,71803741,5150279
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr3:60000-66170270,914,148.4906286,66110270,5366893
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr4:75452279-190000000,734,78.21247306,114547721,7464364
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr6:60000-58087659,756,157.1743789,58027659,4337302
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr8:48135599-86500000,786,74.58659377,38364401,2582207
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr8:87000000-142766515,896,116.4711081,55766515,4121977
ATAC_JV_adipose/samples/AC2/MSC72/problems/chrX:37148256-49242997,447,87.75665722,12094741,916494
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr10:18024675-38818835,730,156.6721564,20794160,1880103
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr10:51448845-125869472,986,203.7933636,74420627,7290519
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr11:69774695-87688378,1091,266.3003384,17913683,1889250
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr12:145739-7189876,1038,385.2892978,7044137,897672
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr12:66500000-109373470,750,146.4835948,42873470,3646253
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr14:19050000-107289540,1039,201.0899372,88239540,8398476
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr16:46510000-88389383,828,240.887925,41879383,4546359
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr1:206482221-223747846,842,182.6758463,17265625,1659454
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr1:521368-2634220,4216,1138.485744,2112852,328151
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr22:20700000-50364777,960,368.3540813,29664777,3843377
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr2:162200000-234003741,862,151.7893731,71803741,6306516
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr3:60000-66170270,994,188.0973903,66110270,6692833
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr4:75452279-190000000,712,96.5734974,114547721,9041906
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr6:60000-58087659,869,194.9770361,58027659,5399428
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr8:48135599-86500000,866,92.71211381,38364401,3159240
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr8:87000000-142766515,971,141.5767195,55766515,5090303
ATAC_JV_adipose/samples/AC2/MSC73/problems/chrX:37148256-49242997,556,117.1719659,12094741,1146627
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr10:18024675-38818835,426,67.80571983,20794160,2312254
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr10:51448845-125869472,547,87.31940235,74420627,8977613
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr11:69774695-87688378,551,104.6715747,17913683,2287368
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr12:145739-7189876,585,150.8133968,7044137,1061435
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr12:66500000-109373470,477,61.78152474,42873470,4522033
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr14:19050000-107289540,503,85.38744792,88239540,10430126
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr16:46510000-88389383,482,102.0028054,41879383,5645578
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr1:206482221-223747846,447,78.96772476,17265625,2065547
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr1:521368-2634220,3674,647.6578992,2112852,393659
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr22:20700000-50364777,565,141.1754416,29664777,4578230
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr2:162200000-234003741,412,65.7820373,71803741,7821665
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr3:60000-66170270,518,83.38166396,66110270,8416346
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr4:75452279-190000000,387,48.03097699,114547721,11499958
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr6:60000-58087659,470,85.88620563,58027659,6633875
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr8:48135599-86500000,488,49.04646103,38364401,4036825
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr8:87000000-142766515,511,67.00655848,55766515,6359081
ATAC_JV_adipose/samples/AC2/MSC74/problems/chrX:37148256-49242997,312,57.37182222,12094741,1475678
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr10:18024675-38818835,744,177.3966539,20794160,1877968
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr10:51448845-125869472,911,208.6680877,74420627,7164623
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr11:69774695-87688378,1022,258.5940511,17913683,1857076
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr12:145739-7189876,990,401.5289103,7044137,878384
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr12:66500000-109373470,813,145.1471394,42873470,3645248
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr14:19050000-107289540,947,192.3375756,88239540,8226341
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr16:46510000-88389383,758,251.2039334,41879383,4479160
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr1:206482221-223747846,846,192.8241575,17265625,1648646
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr1:521368-2634220,25322,26045.99623,2112852,324777
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr22:20700000-50364777,849,361.9492244,29664777,3753192
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr2:162200000-234003741,810,149.5873235,71803741,6255265
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr3:60000-66170270,891,187.892038,66110270,6573416
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr4:75452279-190000000,637,96.36205638,114547721,9034193
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr6:60000-58087659,760,194.5898877,58027659,5327223
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr8:48135599-86500000,745,84.74842723,38364401,3099827
ATAC_JV_adipose/samples/AC2/MSC77/problems/chr8:87000000-142766515,940,153.7757468,55766515,5067174
ATAC_JV_adipose/samples/AC2/MSC77/problems/chrX:37148256-49242997,541,106.4019162,12094741,1126698
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr10:18024675-38818835,793,220.4160364,20794160,1311062
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr10:51448845-125869472,1021,294.9368624,74420627,5051259
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr11:69774695-87688378,1128,339.9242621,17913683,1291138
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr12:145739-7189876,956,569.2097272,7044137,621402
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr12:66500000-109373470,813,200.0829678,42873470,2557772
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr14:19050000-107289540,1112,288.4853319,88239540,5789778
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr16:46510000-88389383,936,351.9810986,41879383,3110924
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr1:206482221-223747846,909,257.4641784,17265625,1164443
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr1:521368-2634220,26383,28722.35808,2112852,230441
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr22:20700000-50364777,1141,559.4532174,29664777,2670356
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr2:162200000-234003741,904,195.6753529,71803741,4411573
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr3:60000-66170270,1228,268.6375834,66110270,4542213
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr4:75452279-190000000,831,121.7017929,114547721,6211245
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr6:60000-58087659,865,275.573328,58027659,3708209
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr8:48135599-86500000,925,107.9692388,38364401,2095753
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr8:87000000-142766515,1004,196.6278643,55766515,3532704
ATAC_JV_adipose/samples/AC2/MSC80/problems/chrX:37148256-49242997,671,151.0634403,12094741,730897
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr10:18024675-38818835,623,154.0328091,20794160,1483911
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr10:51448845-125869472,871,209.1860214,74420627,5758047
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr11:69774695-87688378,1025,251.1034901,17913683,1453354
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr12:145739-7189876,901,367.4224519,7044137,685657
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr12:66500000-109373470,748,137.6494813,42873470,2903789
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr14:19050000-107289540,1079,210.3806732,88239540,6613522
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr16:46510000-88389383,770,248.1253595,41879383,3537211
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr1:206482221-223747846,739,172.0875836,17265625,1296809
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr1:521368-2634220,25695,26957.56273,2112852,258188
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr22:20700000-50364777,1085,395.8228879,29664777,2952730
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr2:162200000-234003741,833,144.6169741,71803741,5018449
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr3:60000-66170270,1046,190.6058575,66110270,5183981
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr4:75452279-190000000,722,88.73864772,114547721,7220693
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr6:60000-58087659,772,193.5707683,58027659,4203630
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr8:48135599-86500000,833,81.31036381,38364401,2439992
ATAC_JV_adipose/samples/AC2/MSC83/problems/chr8:87000000-142766515,957,139.2005822,55766515,4015679
ATAC_JV_adipose/samples/AC2/MSC83/problems/chrX:37148256-49242997,574,110.5908983,12094741,866595
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr10:18024675-38818835,926,315.1729501,20794160,1412945
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr10:51448845-125869472,1385,429.8280578,74420627,5465638
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr11:69774695-87688378,1446,539.0369758,17913683,1391831
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr12:145739-7189876,1350,821.7012849,7044137,654561
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr12:66500000-109373470,1080,278.170008,42873470,2695632
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr14:19050000-107289540,1619,465.4196509,88239540,6254977
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr16:46510000-88389383,1265,536.3394656,41879383,3402072
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr1:206482221-223747846,1039,317.8063394,17265625,1210404
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr1:521368-2634220,30124,37921.21287,2112852,272795
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr22:20700000-50364777,1718,869.7299189,29664777,2858638
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr2:162200000-234003741,1363,282.840895,71803741,4687211
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr3:60000-66170270,1514,424.7598347,66110270,4891088
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr4:75452279-190000000,1095,168.7099873,114547721,6622769
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr6:60000-58087659,1043,403.6884171,58027659,3998971
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr8:48135599-86500000,1482,167.4629187,38364401,2259457
ATAC_JV_adipose/samples/AC2/MSC91/problems/chr8:87000000-142766515,1208,273.9833565,55766515,3812018
ATAC_JV_adipose/samples/AC2/MSC91/problems/chrX:37148256-49242997,981,257.6616524,12094741,815474
ATAC_JV_adipose/samples/ACi/MSC77/problems/chr10:18024675-38818835,1047,299.7107476,20794160,847162
ATAC_JV_adipose/samples/ACi/MSC77/problems/chr11:69774695-87688378,1676,494.5251826,17913683,878077
ATAC_JV_adipose/samples/ACi/MSC77/problems/chr12:145739-7189876,1426,715.585446,7044137,455097
ATAC_JV_adipose/samples/ACi/MSC77/problems/chr14:19050000-107289540,1525,404.2043121,88239540,3685101
ATAC_JV_adipose/samples/ACi/MSC77/problems/chr16:46510000-88389383,1522,506.1041387,41879383,2129438
ATAC_JV_adipose/samples/ACi/MSC77/problems/chr1:206482221-223747846,1310,359.5731234,17265625,780802
ATAC_JV_adipose/samples/ACi/MSC77/problems/chr3:60000-66170270,1893,357.3736178,66110270,2948057
ATAC_JV_adipose/samples/ACi/MSC77/problems/chr4:75452279-190000000,1037,155.1744249,114547721,3707279
ATAC_JV_adipose/samples/ACi/MSC77/problems/chrX:37148256-49242997,873,210.6680089,12094741,484168
ATAC_JV_adipose/samples/ACi/MSC80/problems/chr10:18024675-38818835,1036,274.8153495,20794160,1098103
ATAC_JV_adipose/samples/ACi/MSC80/problems/chr11:69774695-87688378,1339,424.5426313,17913683,1105720
ATAC_JV_adipose/samples/ACi/MSC80/problems/chr12:145739-7189876,1229,651.986933,7044137,545387
ATAC_JV_adipose/samples/ACi/MSC80/problems/chr14:19050000-107289540,1281,372.3364639,88239540,4830268
ATAC_JV_adipose/samples/ACi/MSC80/problems/chr16:46510000-88389383,1407,476.1598642,41879383,2695082
ATAC_JV_adipose/samples/ACi/MSC80/problems/chr1:206482221-223747846,1229,342.3977755,17265625,1005896
ATAC_JV_adipose/samples/ACi/MSC80/problems/chr3:60000-66170270,1535,337.1926758,66110270,3788532
ATAC_JV_adipose/samples/ACi/MSC80/problems/chr4:75452279-190000000,975,153.0328752,114547721,5136699
ATAC_JV_adipose/samples/ACi/MSC80/problems/chrX:37148256-49242997,741,184.8292666,12094741,614934
ATAC_JV_adipose/samples/ACi/MSC83/problems/chr10:18024675-38818835,1385,476.8458323,20794160,1144744
ATAC_JV_adipose/samples/ACi/MSC83/problems/chr11:69774695-87688378,1942,909.4393993,17913683,1210054
ATAC_JV_adipose/samples/ACi/MSC83/problems/chr12:145739-7189876,1893,1261.632941,7044137,611171
ATAC_JV_adipose/samples/ACi/MSC83/problems/chr14:19050000-107289540,2111,784.656006,88239540,5188024
ATAC_JV_adipose/samples/ACi/MSC83/problems/chr16:46510000-88389383,2030,920.3239676,41879383,2966430
ATAC_JV_adipose/samples/ACi/MSC83/problems/chr1:206482221-223747846,1620,607.0507764,17265625,1038352
ATAC_JV_adipose/samples/ACi/MSC83/problems/chr3:60000-66170270,2140,668.3016686,66110270,4069837
ATAC_JV_adipose/samples/ACi/MSC83/problems/chr4:75452279-190000000,1491,267.7554313,114547721,5013710
ATAC_JV_adipose/samples/ACi/MSC83/problems/chrX:37148256-49242997,1328,419.6244618,12094741,668716
ATAC_JV_adipose/samples/ACi/MSC91/problems/chr10:18024675-38818835,390,37.19752258,20794160,361246
ATAC_JV_adipose/samples/ACi/MSC91/problems/chr11:69774695-87688378,535,44.36460883,17913683,332363
ATAC_JV_adipose/samples/ACi/MSC91/problems/chr12:145739-7189876,594,56.77487143,7044137,151906
ATAC_JV_adipose/samples/ACi/MSC91/problems/chr14:19050000-107289540,527,41.36573395,88239540,1468312
ATAC_JV_adipose/samples/ACi/MSC91/problems/chr16:46510000-88389383,556,47.44110247,41879383,791525
ATAC_JV_adipose/samples/ACi/MSC91/problems/chr1:206482221-223747846,422,38.9028917,17265625,313717
ATAC_JV_adipose/samples/ACi/MSC91/problems/chr3:60000-66170270,660,37.58840455,66110270,1166113
ATAC_JV_adipose/samples/ACi/MSC91/problems/chr4:75452279-190000000,496,22.31095036,114547721,1652935
ATAC_JV_adipose/samples/ACi/MSC91/problems/chrX:37148256-49242997,245,19.08811399,12094741,186104
ATAC_JV_adipose/samples/AD1/MSC77/problems/chr10:18024675-38818835,845,312.1699974,20794160,1135075
ATAC_JV_adipose/samples/AD1/MSC77/problems/chr11:69774695-87688378,1212,550.3908402,17913683,1133951
ATAC_JV_adipose/samples/AD1/MSC77/problems/chr12:145739-7189876,1424,929.7564287,7044137,582594
ATAC_JV_adipose/samples/AD1/MSC77/problems/chr14:19050000-107289540,2129,522.1052496,88239540,4875648
ATAC_JV_adipose/samples/AD1/MSC77/problems/chr16:46510000-88389383,1444,660.382828,41879383,2874455
ATAC_JV_adipose/samples/AD1/MSC77/problems/chr1:206482221-223747846,942,304.7961982,17265625,925146
ATAC_JV_adipose/samples/AD1/MSC77/problems/chr3:60000-66170270,1565,450.2750076,66110270,3856146
ATAC_JV_adipose/samples/AD1/MSC77/problems/chr4:75452279-190000000,1194,160.8719382,114547721,4673980
ATAC_JV_adipose/samples/AD1/MSC77/problems/chrX:37148256-49242997,934,258.101944,12094741,636456
ATAC_JV_adipose/samples/AD1/MSC80/problems/chr10:18024675-38818835,502,96.19746437,20794160,703528
ATAC_JV_adipose/samples/AD1/MSC80/problems/chr11:69774695-87688378,634,114.4498315,17913683,651686
ATAC_JV_adipose/samples/AD1/MSC80/problems/chr12:145739-7189876,749,209.0473964,7044137,330591
ATAC_JV_adipose/samples/AD1/MSC80/problems/chr14:19050000-107289540,975,113.2105182,88239540,2883623
ATAC_JV_adipose/samples/AD1/MSC80/problems/chr16:46510000-88389383,674,145.7172328,41879383,1608311
ATAC_JV_adipose/samples/AD1/MSC80/problems/chr1:206482221-223747846,559,98.7407404,17265625,578476
ATAC_JV_adipose/samples/AD1/MSC80/problems/chr3:60000-66170270,909,105.3219266,66110270,2282863
ATAC_JV_adipose/samples/AD1/MSC80/problems/chr4:75452279-190000000,531,50.98050751,114547721,3070661
ATAC_JV_adipose/samples/AD1/MSC80/problems/chrX:37148256-49242997,399,49.65674331,12094741,366210
ATAC_JV_adipose/samples/AD1/MSC83/problems/chr10:18024675-38818835,684,150.1707564,20794160,751681
ATAC_JV_adipose/samples/AD1/MSC83/problems/chr11:69774695-87688378,896,250.5157022,17913683,744877
ATAC_JV_adipose/samples/AD1/MSC83/problems/chr12:145739-7189876,1014,383.5241935,7044137,378648
ATAC_JV_adipose/samples/AD1/MSC83/problems/chr14:19050000-107289540,1250,239.2970853,88239540,3214777
ATAC_JV_adipose/samples/AD1/MSC83/problems/chr16:46510000-88389383,951,285.6443009,41879383,1862823
ATAC_JV_adipose/samples/AD1/MSC83/problems/chr1:206482221-223747846,751,163.4167418,17265625,633693
ATAC_JV_adipose/samples/AD1/MSC83/problems/chr3:60000-66170270,1159,211.6952299,66110270,2568471
ATAC_JV_adipose/samples/AD1/MSC83/problems/chr4:75452279-190000000,829,83.48574432,114547721,3139176
ATAC_JV_adipose/samples/AD1/MSC83/problems/chrX:37148256-49242997,651,117.1179539,12094741,411759
ATAC_JV_adipose/samples/AD1/MSC91/problems/chr10:18024675-38818835,780,242.5929085,20794160,893619
ATAC_JV_adipose/samples/AD1/MSC91/problems/chr11:69774695-87688378,1071,355.3999026,17913683,860056
ATAC_JV_adipose/samples/AD1/MSC91/problems/chr12:145739-7189876,1126,520.4508116,7044137,405331
ATAC_JV_adipose/samples/AD1/MSC91/problems/chr14:19050000-107289540,1723,349.9380536,88239540,3647749
ATAC_JV_adipose/samples/AD1/MSC91/problems/chr16:46510000-88389383,1132,422.6538219,41879383,2096538
ATAC_JV_adipose/samples/AD1/MSC91/problems/chr1:206482221-223747846,794,223.8048302,17265625,726205
ATAC_JV_adipose/samples/AD1/MSC91/problems/chr3:60000-66170270,1313,318.1391704,66110270,2943475
ATAC_JV_adipose/samples/AD1/MSC91/problems/chr4:75452279-190000000,921,127.6915961,114547721,3691082
ATAC_JV_adipose/samples/AD1/MSC91/problems/chrX:37148256-49242997,758,161.6292171,12094741,466962
ATAC_JV_adipose/samples/AD2/MSC70/problems/chr10:18024675-38818835,415,49.95564133,20794160,614008
ATAC_JV_adipose/samples/AD2/MSC70/problems/chr10:51448845-125869472,630,79.16281537,74420627,2411059
ATAC_JV_adipose/samples/AD2/MSC70/problems/chr11:69774695-87688378,613,95.17655803,17913683,636271
ATAC_JV_adipose/samples/AD2/MSC70/problems/chr12:145739-7189876,591,137.2382734,7044137,313967
ATAC_JV_adipose/samples/AD2/MSC70/problems/chr12:66500000-109373470,509,47.46041003,42873470,1132183
ATAC_JV_adipose/samples/AD2/MSC70/problems/chr14:19050000-107289540,895,87.26871076,88239540,2749597
ATAC_JV_adipose/samples/AD2/MSC70/problems/chr16:46510000-88389383,614,97.98532895,41879383,1542061
ATAC_JV_adipose/samples/AD2/MSC70/problems/chr1:206482221-223747846,432,57.18748727,17265625,537071
ATAC_JV_adipose/samples/AD2/MSC70/problems/chr1:521368-2634220,4390,1222.655917,2112852,127590
ATAC_JV_adipose/samples/AD2/MSC70/problems/chr22:20700000-50364777,827,153.0203172,29664777,1348957
ATAC_JV_adipose/samples/AD2/MSC70/problems/chr2:162200000-234003741,581,50.68372158,71803741,2002069
ATAC_JV_adipose/samples/AD2/MSC70/problems/chr3:60000-66170270,643,76.7623213,66110270,2202219
