sequenceID,log_lambda,total_labels,fp,fn
111_chr17,1.7064536073163994,1,0,0
111_chr2,1.796061199144026,1,0,0
111_chr3,1.7848061328903184,1,0,0
111_chr4,1.7523810495773449,1,0,0
112_chr1,1.8377308623123876,1,0,0
112_chr11,1.666442781379039,0,0,0
112_chr17,1.6556422529709331,0,0,0
112_chr2,1.7592608106203929,1,0,0
112_chr3,1.7115132057167817,1,0,0
112_chr4,1.698923917545755,1,0,0
113_chr1,1.7468618712420882,0,0,0
113_chr10,1.5040351003996315,1,0,1
113_chr11,1.533577726591972,2,0,2
113_chr13,1.4431723270012284,1,0,1
113_chr17,1.524994838195378,0,0,0
113_chr2,1.6451493117368803,0,0,0
113_chr3,1.5660066297600124,1,0,0
113_chr4,1.5182757199460604,0,0,0
113_chr6,1.5314704927383054,1,0,0
113_chr7,1.4803421887365897,1,0,1
113_chr9,1.4803421887365897,1,0,1
114_chr1,1.837433010175254,1,0,0
114_chr11,1.666442781379039,0,0,0
114_chr17,1.6556422529709331,0,0,0
114_chr2,1.7592608106203929,0,0,0
114_chr3,1.7136314427104262,0,0,0
114_chr4,1.6996936443146262,1,0,0
115_chr1,1.7799549261894412,1,0,0
115_chr11,1.557077128137304,0,0,0
115_chr17,1.5589001622577283,0,0,0
115_chr2,1.654623228243748,0,0,0
115_chr3,1.5841605801847392,0,0,0
115_chr4,1.5437533966819692,0,0,0
116_chr1,1.8011789683286092,1,0,0
116_chr11,1.5711511089688401,1,0,0
116_chr14,1.453173761903945,1,0,0
116_chr17,1.6019790905057438,1,0,0
116_chr2,1.6809467148946111,1,0,0
116_chr3,1.6350859153080564,1,0,0
116_chr4,1.60056406759735,1,0,0
116_chrX,1.511295614460169,0,0,0
117_chr1,1.866098164048597,1,0,0
117_chr11,1.6942233942183775,1,0,0
117_chr17,1.7057169928720943,1,0,0
117_chr2,1.7948535467124367,1,0,0
117_chr3,1.783060911092484,1,0,0
117_chr4,1.7523810495773449,1,0,0
118_chr1,1.7834992057583694,1,0,0
118_chr11,1.6155070422290247,0,0,0
118_chr17,1.631588328253238,1,0,0
118_chr3,1.6515267696058114,1,0,0
118_chr4,1.606153850141491,1,0,0
119_chr1,1.8377308623123876,1,0,0
119_chr11,1.666442781379039,0,0,0
119_chr17,1.6556422529709331,0,0,0
119_chr2,1.7597769359162803,0,0,0
119_chr3,1.7136314427104262,0,0,0
119_chr4,1.6996936443146262,1,0,0
11_chr1,1.8252841449754358,2,0,0
11_chr11,1.6280143374292215,2,0,0
11_chr14,1.533577726591972,1,0,0
11_chr16,1.5089076184613552,1,0,0
11_chr17,1.6440614850208792,1,0,0
11_chr2,1.7308493614553722,1,0,0
11_chr21,1.3308317646057786,1,0,0
11_chr3,1.6818103694507691,1,0,0
11_chr4,1.6451493117368803,2,0,1
11_chr7,1.5976977501549372,2,0,0
11_chr9,1.5793972284736488,1,0,1
120_chr1,1.837433010175254,1,0,0
120_chr11,1.666442781379039,1,0,0
120_chr17,1.6556422529709331,1,0,0
120_chr2,1.7582230880035041,1,0,0
120_chr3,1.7136314427104262,1,0,0
120_chr4,1.698923917545755,1,0,0
121_chr1,1.796860646116722,0,0,0
121_chr11,1.6019790905057438,0,0,0
121_chr17,1.6102268623203686,0,0,0
121_chr2,1.698150339405538,0,0,0
121_chr3,1.6494288456372879,0,0,0
121_chr4,1.607522596743224,1,0,0
122_chr1,1.8179299142439982,1,0,0
122_chr11,1.61935972946482,1,0,0
122_chr17,1.6292143487645936,1,0,0
122_chr2,1.7270462672679818,1,0,0
122_chr3,1.6747645128995639,1,0,0
122_chr4,1.6327625287522542,1,0,0
123_chr1,1.7753985790322422,1,0,0
123_chr11,1.5711511089688401,0,0,0
123_chr12,1.6231246605584686,1,0,1
123_chr14,1.4289675858306226,1,0,0
123_chr16,1.436201191916192,1,0,1
123_chr17,1.5660066297600124,0,0,0
123_chr19,1.3247380861805318,1,0,1
123_chr2,1.6756626832965449,1,0,0
123_chr3,1.5947817710037706,0,0,0
123_chr4,1.5660066297600124,0,0,0
123_chr7,1.50648771329857,1,0,1
123_chrX,1.5182757199460604,1,0,1
124_chr1,1.8675386848916535,1,0,0
124_chr11,1.6973728737148535,1,0,0
124_chr17,1.7071867066117268,1,0,0
124_chr2,1.7952572364600974,1,0,0
124_chr3,1.785670861822471,1,0,0
124_chr4,1.7534605989414096,1,0,0
125_chr1,1.8371345107474775,1,0,0
125_chr11,1.666442781379039,1,0,0
125_chr17,1.6556422529709331,1,0,0
125_chr2,1.7577014664284185,1,0,0
125_chr3,1.7122225514970442,1,0,0
125_chr4,1.698923917545755,1,0,0
126_chr1,1.8684904904252935,1,0,0
126_chr11,1.6973728737148535,1,0,0
126_chr17,1.7071867066117268,1,0,0
126_chr2,1.796061199144026,1,0,0
126_chr3,1.7861012816874497,1,0,0
126_chr4,1.7534605989414096,1,0,0
127_chr1,1.827864784902705,1,0,0
127_chr11,1.631588328253238,1,0,0
127_chr17,1.6362353204949376,0,0,0
127_chr2,1.7363795556717014,1,0,0
127_chr3,1.6885533075517642,1,0,0
127_chr4,1.6596547483333284,0,0,0
128_chr1,1.8105292397544497,1,0,0
128_chr11,1.5976977501549372,0,0,0
128_chr12,1.657661072489074,3,0,1
128_chr17,1.6019790905057438,3,0,0
128_chr2,1.7034857400507994,3,0,1
128_chr3,1.6373766762290247,3,0,1
128_chr4,1.6033822739252712,1,0,0
128_chr6,1.6102268623203686,3,0,1
129_chr1,1.8684904904252935,1,0,0
129_chr11,1.6965914837958764,1,0,0
129_chr17,1.7071867066117268,1,0,0
129_chr2,1.7956597852571103,1,0,0
129_chr3,1.785670861822471,1,0,0
129_chr4,1.7529218107091815,1,0,0
129_chr9,1.6616238585115888,1,0,0
12_chr1,1.8377308623123876,3,0,2
12_chr11,1.666442781379039,3,0,0
12_chr14,1.557077128137304,1,0,0
12_chr17,1.6556422529709331,3,0,0
12_chr2,1.7592608106203929,3,0,0
12_chr22,1.5136524718106426,1,0,0
12_chr3,1.7136314427104262,1,0,0
12_chr4,1.6996936443146262,1,0,0
12_chr6,1.6877261782437236,3,0,1
12_chrX,1.654623228243748,5,0,2
130_chr1,1.7861012816874497,1,0,0
130_chr11,1.6088802117007757,1,0,0
130_chr17,1.633928354228994,1,0,0
130_chr2,1.700459555401444,1,0,0
130_chr3,1.6535976917010051,1,0,0
130_chr4,1.6047738008405017,1,0,0
131_chr1,1.796061199144026,1,0,0
131_chr11,1.5711511089688401,0,0,0
131_chr17,1.590311111517258,1,0,0
131_chr2,1.6910086860165965,1,0,0
131_chr3,1.6362353204949376,1,0,0
131_chr4,1.599137017997089,1,0,0
132_chr1,1.8281840120059292,1,0,0
132_chr11,1.633928354228994,1,0,0
132_chr17,1.6440614850208792,1,0,0
132_chr2,1.7333324067158664,1,0,0
132_chr3,1.6843731492759335,1,0,0
132_chr4,1.6429663002001658,1,0,0
133_chr1,1.8300840639548146,1,0,0
133_chr11,1.6373766762290247,1,0,0
133_chr2,1.738178534983081,0,0,0
133_chr3,1.6860586552156356,1,0,0
133_chr4,1.6596547483333284,1,0,0
134_chr1,1.8368353613772952,1,0,0
134_chr11,1.666442781379039,1,0,0
134_chr17,1.654623228243748,1,0,0
134_chr2,1.7592608106203929,1,0,0
134_chr3,1.7122225514970442,1,0,0
134_chr4,1.698923917545755,1,0,0
135_chr1,1.8064912345199307,1,0,0
135_chr11,1.607522596743224,1,0,0
135_chr17,1.61935972946482,1,0,0
135_chr2,1.710800555208106,1,0,0
135_chr3,1.6556422529709331,1,0,0
135_chr4,1.6206242722269526,1,0,0
136_chr1,1.8158550349496865,1,0,0
136_chr11,1.6088802117007757,1,0,0
136_chr17,1.6327625287522542,1,0,0
136_chr2,1.7071867066117268,1,0,0
136_chr3,1.6616238585115888,1,0,0
136_chr4,1.640753481184427,1,0,0
137_chr1,1.8182727521228248,1,0,0
137_chr11,1.6304056399335578,1,0,0
137_chr17,1.6385100869349585,1,0,0
137_chr2,1.7184625455733635,0,0,0
137_chr3,1.6738612006698723,1,0,0
137_chr4,1.640753481184427,1,0,0
138_chr1,1.8682531732300711,3,0,1
138_chr11,1.6973728737148535,1,0,0
138_chr17,1.7071867066117268,1,0,0
138_chr2,1.796061199144026,1,0,0
138_chr3,1.7865304148526806,1,0,0
138_chr4,1.7534605989414096,1,0,0
139_chr1,1.835933986854717,1,0,0
139_chr11,1.666442781379039,3,0,2
139_chr17,1.654623228243748,3,0,1
139_chr2,1.7577014664284185,1,0,0
139_chr22,1.5136524718106426,1,0,0
139_chr3,1.7115132057167817,3,0,1
139_chr4,1.6958061324630038,2,0,1
139_chr7,1.6504812238075268,3,0,0
139_chr9,1.633928354228994,1,0,1
13_chr1,1.868015434187263,1,0,0
13_chr11,1.6973728737148535,1,0,0
13_chr17,1.7071867066117268,1,0,0
13_chr2,1.7952572364600974,1,0,0
13_chr3,1.7865304148526806,1,0,0
13_chr4,1.7534605989414096,1,0,0
140_chr1,1.8675386848916535,1,0,0
140_chr11,1.6973728737148535,1,0,0
140_chr17,1.7071867066117268,1,0,0
140_chr2,1.7956597852571103,0,0,0
140_chr3,1.7865304148526806,1,0,0
140_chr4,1.7529218107091815,1,0,0
141_chr1,1.8583987442935181,1,0,0
141_chr11,1.6950167820135742,1,0,0
141_chr17,1.698150339405538,1,0,0
141_chr2,1.7878101658686156,0,0,0
141_chr3,1.7721216343958586,1,0,0
141_chr4,1.7457329447065377,1,0,0
142_chr1,1.8256093633196335,1,0,0
142_chr11,1.631588328253238,1,0,0
142_chr17,1.6440614850208792,1,0,0
142_chr2,1.7320960110184258,1,0,0
142_chr3,1.6818103694507691,1,0,0
142_chr4,1.6556422529709331,1,0,0
143_chr1,1.8223223988640151,1,0,0
143_chr11,1.6218792042124106,1,0,0
143_chr17,1.633928354228994,1,0,0
143_chr2,1.7257569610137753,1,0,0
143_chr3,1.6645326805160583,1,0,0
143_chr4,1.6280143374292215,1,0,0
144_chr1,1.81929624325458,0,0,0
144_chr11,1.6255876731852767,1,0,0
144_chr17,1.640753481184427,0,0,0
144_chr2,1.7302221415008947,0,0,0
144_chr3,1.6738612006698723,1,0,0
144_chr4,1.6440614850208792,1,0,0
145_chr1,1.7940427199665683,2,0,1
145_chr11,1.590311111517258,1,0,1
145_chr12,1.6566548425881231,3,0,1
145_chr17,1.6180854379591356,2,0,0
145_chr19,1.298435801589627,2,0,1
145_chr2,1.6835235388561318,2,0,1
145_chr3,1.6255876731852767,2,0,1
145_chr4,1.590311111517258,3,0,2
145_chr6,1.5777794472527427,3,0,2
145_chr7,1.5159789342503565,2,0,1
146_chr1,1.8038600500188664,1,0,0
146_chr11,1.607522596743224,1,0,0
146_chr17,1.6155070422290247,1,0,0
146_chr2,1.7079163219967186,1,0,0
146_chr3,1.6515267696058114,1,0,0
146_chr4,1.6180854379591356,1,0,0
147_chr1,1.8377308623123876,1,0,1
147_chr11,1.666442781379039,0,0,0
147_chr17,1.6556422529709331,0,0,0
147_chr2,1.7587428653389103,1,0,0
147_chr3,1.7136314427104262,1,0,0
147_chr4,1.6996936443146262,1,0,0
148_chr1,1.837433010175254,1,0,0
148_chr11,1.666442781379039,1,0,0
148_chr17,1.6556422529709331,1,0,0
148_chr2,1.7587428653389103,1,0,0
148_chr3,1.7129286210981716,1,0,0
148_chr4,1.698923917545755,1,0,0
149_chr1,1.8294536087185542,2,0,1
149_chr11,1.6385100869349585,2,0,0
149_chr17,1.6504812238075268,1,0,0
149_chr2,1.7375812749434183,3,0,2
149_chr20,1.524994838195378,1,0,1
149_chr3,1.6901945189330263,1,0,0
149_chr4,1.6635689618373102,1,0,0
149_chr6,1.6494288456372879,3,0,2
14_chr1,1.8262575220377497,1,0,1
14_chr11,1.6255876731852767,1,0,0
14_chr17,1.6473032557366176,1,0,0
14_chr18,1.493880539808272,1,0,1
14_chr2,1.7257569610137753,0,0,0
14_chr3,1.6783268831289937,1,0,0
14_chr4,1.6473032557366176,1,0,0
150_chr1,1.868015434187263,1,0,0
150_chr11,1.6973728737148535,0,0,0
150_chr17,1.7071867066117268,0,0,0
150_chr2,1.7956597852571103,1,0,0
150_chr3,1.7865304148526806,1,0,0
150_chr4,1.7534605989414096,1,0,0
151_chr1,1.7899180109322803,1,0,0
151_chr11,1.5947817710037706,1,0,0
151_chr17,1.6168012568351087,1,0,0
151_chr2,1.69262435098263,1,0,0
151_chr3,1.6451493117368803,1,0,0
151_chr4,1.599137017997089,1,0,0
152_chr1,1.7984461817988566,1,0,0
152_chr11,1.6047738008405017,1,0,0
152_chr17,1.612887921665338,1,0,0
152_chr2,1.6885533075517642,1,0,0
152_chr3,1.6373766762290247,1,0,0
152_chr4,1.5962460680403698,1,0,0
153_chr1,1.8042389474544507,1,0,1
153_chr11,1.6047738008405017,2,0,1
153_chr17,1.6168012568351087,3,0,1
153_chr18,1.465736890326896,3,0,1
153_chr2,1.7064536073163994,3,0,1
153_chr3,1.654623228243748,1,0,0
153_chr4,1.6168012568351087,3,0,1
153_chr7,1.5589001622577283,3,0,1
154_chr1,1.794448709926395,1,0,0
154_chr11,1.5793972284736488,1,0,0
154_chr17,1.590311111517258,1,0,0
154_chr2,1.6893760735113401,1,0,0
154_chr3,1.641863663944111,1,0,0
154_chr4,1.60056406759735,1,0,0
155_chr1,1.8377308623123876,1,0,0
155_chr11,1.666442781379039,0,0,0
155_chr17,1.6556422529709331,0,0,0
155_chr2,1.7582230880035041,1,0,0
155_chr3,1.7129286210981716,1,0,0
155_chr4,1.6996936443146262,1,0,0
156_chr1,1.8015651024152974,1,0,0
156_chr11,1.6047738008405017,1,0,0
156_chr17,1.6102268623203686,1,0,0
156_chr2,1.6950167820135742,1,0,0
156_chr3,1.6504812238075268,1,0,0
156_chr4,1.607522596743224,1,0,0
157_chr1,1.8233166761557937,1,0,0
157_chr11,1.6268054862616488,1,0,0
157_chr17,1.633928354228994,1,0,0
157_chr2,1.723144887052054,1,0,0
157_chr3,1.6738612006698723,1,0,0
157_chr4,1.641863663944111,1,0,0
158_chr1,1.8239755997460028,1,0,0
158_chr11,1.6243607736485148,1,0,0
158_chr17,1.639635655072424,1,0,0
158_chr2,1.7218217550180943,1,0,0
158_chr3,1.672952691374451,1,0,0
158_chr4,1.6362353204949376,1,0,0
159_chr1,1.827864784902705,1,0,0
159_chr11,1.631588328253238,1,0,0
159_chr17,1.6483695513605736,1,0,0
159_chr2,1.7333324067158664,1,0,0
159_chr3,1.6783268831289937,1,0,0
159_chr4,1.652565565295187,1,0,0
15_chr1,1.8272241149214201,0,0,0
15_chr10,1.6231246605584686,1,0,1
15_chr11,1.6280143374292215,1,0,0
15_chr17,1.640753481184427,1,0,0
15_chr2,1.7302221415008947,1,0,0
15_chr3,1.6800782821876006,1,0,0
15_chr4,1.6504812238075268,1,0,0
15_chr6,1.6451493117368803,2,0,2
160_chr1,1.837433010175254,1,0,0
160_chr11,1.666442781379039,1,0,0
160_chr17,1.6556422529709331,1,0,0
160_chr2,1.7582230880035041,1,0,0
160_chr3,1.7129286210981716,1,0,0
160_chr4,1.698923917545755,1,0,0
161_chr1,1.8297691956748992,0,0,0
161_chr17,1.652565565295187,0,0,0
161_chr2,1.736981621182782,0,0,0
161_chr3,1.6885533075517642,1,0,0
161_chr4,1.6586610167850495,1,0,0
162_chr1,1.8101668981159638,2,0,1
162_chr11,1.5918145056013675,3,0,1
162_chr17,1.607522596743224,3,0,0
162_chr19,1.3184623205053285,2,0,1
162_chr2,1.7042330915198087,1,0,0
162_chr22,1.4563938230443614,2,0,1
162_chr3,1.6385100869349585,5,0,1
162_chr4,1.611562712266506,1,0,0
162_chr5,1.6566548425881231,3,0,1
162_chr7,1.557077128137304,3,0,1
162_chr8,1.5677385634836343,2,0,1
163_chr1,1.837433010175254,1,0,0
163_chr11,1.666442781379039,1,0,0
163_chr17,1.6556422529709331,1,0,0
163_chr2,1.7592608106203929,1,0,0
163_chr3,1.7136314427104262,1,0,0
163_chr4,1.698923917545755,1,0,0
164_chr1,1.8677772718818022,1,0,0
164_chr11,1.6958061324630038,1,0,0
164_chr17,1.7071867066117268,1,0,0
164_chr2,1.796061199144026,1,0,0
164_chr3,1.7865304148526806,1,0,0
164_chr4,1.7529218107091815,1,0,0
165_chr1,1.8049937082689593,1,0,0
165_chr11,1.607522596743224,1,0,0
165_chr17,1.6180854379591356,1,0,0
165_chr2,1.7071867066117268,1,0,0
165_chr3,1.6535976917010051,1,0,0
165_chr4,1.6206242722269526,1,0,0
166_chr1,1.8151565121315343,1,0,0
166_chr11,1.6102268623203686,1,0,0
166_chr17,1.6304056399335578,1,0,0
166_chr2,1.710800555208106,1,0,0
166_chr3,1.6635689618373102,1,0,0
166_chr4,1.6243607736485148,1,0,0
167_chr1,1.837433010175254,1,0,0
167_chr11,1.666442781379039,0,0,0
167_chr17,1.6556422529709331,0,0,0
167_chr2,1.7592608106203929,1,0,0
167_chr3,1.7122225514970442,0,0,0
167_chr4,1.6996936443146262,0,0,0
168_chr1,1.7702153506265932,0,0,0
168_chr11,1.5711511089688401,0,0,0
168_chr17,1.5660066297600124,1,0,0
168_chr2,1.6654905987582682,0,0,0
168_chr3,1.5872636973025485,0,0,0
168_chr4,1.53975317897557,1,0,0
169_chr1,1.828820266391222,0,0,0
169_chr11,1.639635655072424,1,0,0
169_chr17,1.6483695513605736,0,0,0
169_chr2,1.7363795556717014,1,0,0
169_chr3,1.6885533075517642,1,0,0
169_chr4,1.6556422529709331,1,0,0
16_chr1,1.8684904904252935,1,0,0
16_chr11,1.6973728737148535,1,0,0
16_chr17,1.7071867066117268,1,0,0
16_chr2,1.7956597852571103,1,0,0
16_chr3,1.7861012816874497,1,0,0
16_chr4,1.7534605989414096,1,0,0
170_chr1,1.7776946995403657,1,0,0
170_chr11,1.55523479881416,1,0,0
170_chr17,1.60056406759735,1,0,0
170_chr2,1.652565565295187,1,0,0
170_chr3,1.6047738008405017,1,0,0
170_chr4,1.5271796258079011,1,0,0
171_chr1,1.8179299142439982,1,0,0
171_chr11,1.6180854379591356,1,0,0
171_chr17,1.6350859153080564,1,0,0
171_chr2,1.7198151588094999,1,0,0
171_chr3,1.6645326805160583,1,0,0
171_chr4,1.6243607736485148,1,0,0
172_chr1,1.8377308623123876,2,0,1
172_chr11,1.666442781379039,1,0,0
172_chr17,1.6556422529709331,3,0,1
172_chr2,1.7587428653389103,1,0,0
172_chr3,1.7136314427104262,3,0,1
172_chr4,1.6996936443146262,3,0,1
173_chr1,1.7952572364600974,1,0,0
173_chr11,1.590311111517258,3,0,1
173_chr15,1.436201191916192,2,0,1
173_chr16,1.4498980416116356,3,0,1
173_chr17,1.6155070422290247,0,0,0
173_chr19,1.298435801589627,2,0,1
173_chr2,1.6809467148946111,1,0,0
173_chr3,1.6268054862616488,1,0,0
173_chr4,1.5887942507576207,2,0,1
173_chr8,1.5314704927383054,3,0,1
173_chr9,1.537718545324583,1,0,0
175_chr1,1.774003228478944,1,0,0
175_chr11,1.562489821742864,1,0,0
175_chr17,1.5514907132708071,1,0,0
175_chr2,1.6515267696058114,1,0,0
175_chr3,1.6155070422290247,1,0,0
175_chr4,1.520543522634296,1,0,0
176_chr1,1.8371345107474775,1,0,0
176_chr11,1.666442781379039,1,0,0
176_chr17,1.6556422529709331,1,0,0
176_chr2,1.7582230880035041,1,0,0
176_chr3,1.7129286210981716,1,0,0
176_chr4,1.698923917545755,1,0,0
177_chr1,1.8303982166304003,1,0,0
177_chr11,1.639635655072424,1,0,0
177_chr17,1.6515267696058114,1,0,0
177_chr2,1.738178534983081,1,0,0
177_chr3,1.6877261782437236,1,0,0
177_chr4,1.6616238585115888,1,0,0
178_chr1,1.8303982166304003,0,0,0
178_chr11,1.639635655072424,1,0,0
178_chr17,1.6535976917010051,1,0,0
178_chr2,1.739956130141644,1,0,0
178_chr3,1.6893760735113401,1,0,0
178_chr4,1.6635689618373102,1,0,0
17_chr1,1.8155062092765784,3,0,1
17_chr11,1.611562712266506,4,0,2
17_chr14,1.4803421887365897,1,0,1
17_chr17,1.6255876731852767,1,0,1
17_chr2,1.710084571056691,1,0,0
17_chr3,1.654623228243748,1,0,0
17_chr4,1.6231246605584686,1,0,0
180_chr1,1.7485393220168293,0,0,0
180_chr11,1.5293379817722996,0,0,0
180_chr17,1.524994838195378,0,0,0
180_chr2,1.6429663002001658,0,0,0
180_chr3,1.5777794472527427,1,0,0
180_chr4,1.524994838195378,1,0,0
181_chr11,1.6973728737148535,1,0,0
181_chr17,1.7071867066117268,1,0,0
181_chr2,1.796061199144026,1,0,0
181_chr3,1.7865304148526806,1,0,0
181_chr4,1.7534605989414096,1,0,0
182_chr1,1.8158550349496865,0,0,0
182_chr11,1.611562712266506,0,0,0
182_chr17,1.6243607736485148,0,0,0
182_chr2,1.7122225514970442,0,0,0
182_chr3,1.6535976917010051,1,0,0
183_chr1,1.828820266391222,0,0,0
183_chr11,1.6304056399335578,1,0,0
183_chr17,1.6429663002001658,1,0,0
183_chr2,1.735168116281128,1,0,0
183_chr3,1.6852181727139932,1,0,0
183_chr4,1.6556422529709331,1,0,0
184_chr1,1.828820266391222,1,0,0
184_chr11,1.6362353204949376,1,0,0
184_chr17,1.6515267696058114,1,0,0
184_chr2,1.735775060181448,1,0,0
184_chr3,1.6885533075517642,1,0,0
184_chr4,1.6556422529709331,1,0,0
185_chr1,1.792407103985142,1,0,0
185_chr11,1.562489821742864,0,0,0
185_chr17,1.5933046536324995,0,0,0
185_chr2,1.6692655480168836,1,0,0
185_chr3,1.611562712266506,1,0,0
185_chr4,1.572832342456985,1,0,0
186_chr1,1.8684904904252935,1,0,0
186_chr11,1.6973728737148535,1,0,0
186_chr17,1.7071867066117268,1,0,0
186_chr2,1.7956597852571103,1,0,0
186_chr3,1.785670861822471,1,0,0
186_chr4,1.7534605989414096,1,0,0
187_chr1,1.8300840639548146,1,0,0
187_chr11,1.639635655072424,1,0,0
187_chr17,1.652565565295187,1,0,0
187_chr2,1.739956130141644,1,0,0
187_chr3,1.6893760735113401,1,0,0
187_chr4,1.6625993768319907,1,0,0
188_chr1,1.8377308623123876,3,0,0
188_chr11,1.666442781379039,1,0,0
188_chr2,1.7587428653389103,2,0,0
188_chr3,1.7136314427104262,3,0,0
188_chr4,1.6996936443146262,1,0,0
188_chr6,1.6877261782437236,2,0,1
188_chr9,1.6362353204949376,2,0,1
189_chr1,1.8687273871810708,2,0,1
189_chr11,1.6973728737148535,3,0,0
189_chr15,1.5918145056013675,3,0,1
189_chr17,1.7071867066117268,3,0,0
189_chr18,1.5809998372418241,3,0,2
189_chr2,1.796061199144026,2,0,1
189_chr20,1.5947817710037706,2,0,1
189_chr3,1.7861012816874497,2,0,1
189_chr4,1.7534605989414096,1,0,0
189_chr5,1.7445953751314742,3,0,1
189_chr7,1.6958061324630038,2,0,1
189_chr9,1.6616238585115888,2,0,1
189_chrX,1.6910086860165965,2,0,1
18_chr1,1.7894989169847582,1,0,0
18_chr10,1.55523479881416,1,0,1
18_chr11,1.5841605801847392,0,0,0
18_chr17,1.5711511089688401,0,0,0
18_chr2,1.6852181727139932,1,0,0
18_chr20,1.4775113193551406,2,0,2
18_chr3,1.612887921665338,1,0,1
18_chr4,1.5711511089688401,1,0,0
18_chr6,1.5918145056013675,1,0,0
18_chr7,1.5293379817722996,1,0,0
18_chr9,1.5314704927383054,1,0,0
18_chrX,1.493880539808272,1,0,1
190_chr1,1.8172417039711923,1,0,0
190_chr11,1.612887921665338,0,0,0
190_chr17,1.6373766762290247,0,0,0
190_chr2,1.7115132057167817,1,0,0
190_chr3,1.6692655480168836,0,0,0
190_chr4,1.6304056399335578,0,0,0
191_chr1,1.768769066221245,1,0,1
191_chr11,1.569453284877013,0,0,0
191_chr17,1.5314704927383054,0,0,0
191_chr2,1.6625993768319907,1,0,0
191_chr3,1.5761462244678353,0,0,0
191_chr4,1.537718545324583,1,0,0
192_chr1,1.7702153506265932,0,0,0
192_chr11,1.5711511089688401,1,0,0
192_chr17,1.5514907132708071,0,0,0
192_chr2,1.6673892921414593,0,0,0
192_chr3,1.5841605801847392,1,0,0
192_chr4,1.5495881581091657,1,0,0
193_chr1,1.8206493212521828,1,0,0
193_chr11,1.6155070422290247,1,0,0
193_chr17,1.6385100869349585,1,0,0
193_chr2,1.7184625455733635,1,0,0
193_chr3,1.6738612006698723,1,0,0
193_chr4,1.6362353204949376,1,0,0
